año,presidente,tema,pct_presidencial,pct_ciudadana,brecha
2005,lagos,Trabajo/Empleo,7.51,24.55,-17.05
2005,lagos,Vivienda,5.7,4.28,1.43
2006,bachelet,Constitución,0.72,0.0,0.72
2006,bachelet,Corrupción,0.97,4.09,-3.12
2006,bachelet,Derechos humanos,2.88,1.33,1.55
2006,bachelet,Desigualdad,0.97,0.0,0.97
2006,bachelet,Economía,26.68,3.43,23.25
2006,bachelet,Educación,18.04,12.97,5.07
2006,bachelet,Medio ambiente,1.68,1.5,0.19
2006,bachelet,Migración,1.45,0.0,1.45
2006,bachelet,Pensiones,5.76,0.0,5.76
2006,bachelet,Pobreza,4.56,11.31,-6.74
2006,bachelet,Salud,12.26,13.26,-1.0
2006,bachelet,Seguridad,6.25,25.82,-19.57
2006,bachelet,Trabajo/Empleo,9.86,21.45,-11.59
2006,bachelet,Vivienda,7.93,4.85,3.08
2007,bachelet,Constitución,1.88,0.0,1.88
2007,bachelet,Corrupción,3.13,3.49,-0.37
2007,bachelet,Derechos humanos,1.88,1.15,0.72
2007,bachelet,Desigualdad,1.25,0.0,1.25
2007,bachelet,Economía,23.29,4.37,18.92
2007,bachelet,Educación,28.27,11.36,16.91
2007,bachelet,Medio ambiente,1.04,2.07,-1.03
2007,bachelet,Migración,1.88,0.0,1.88
2007,bachelet,Pensiones,4.38,0.0,4.38
2007,bachelet,Pobreza,5.39,12.16,-6.77
2007,bachelet,Salud,6.23,12.71,-6.48
2007,bachelet,Seguridad,5.39,26.94,-21.55
2007,bachelet,Trabajo/Empleo,8.73,21.34,-12.61
2007,bachelet,Vivienda,7.27,4.39,2.88
2008,bachelet,Constitución,1.65,0.0,1.65
2008,bachelet,Corrupción,2.14,4.35,-2.21
2008,bachelet,Derechos humanos,1.97,1.07,0.9
2008,bachelet,Desigualdad,1.97,0.0,1.97
2008,bachelet,Economía,22.2,9.96,12.24
2008,bachelet,Educación,25.16,11.52,13.64
2008,bachelet,Medio ambiente,2.46,1.95,0.51
2008,bachelet,Migración,3.28,0.0,3.28
2008,bachelet,Pensiones,5.11,0.0,5.11
2008,bachelet,Pobreza,4.94,9.88,-4.95
2008,bachelet,Salud,9.87,12.53,-2.66
2008,bachelet,Seguridad,4.45,23.84,-19.39
2008,bachelet,Trabajo/Empleo,8.56,21.34,-12.78
2008,bachelet,Vivienda,6.25,3.56,2.69
2009,bachelet,Constitución,1.62,0.0,1.62
2009,bachelet,Corrupción,2.41,4.63,-2.22
2009,bachelet,Derechos humanos,2.61,1.17,1.44
2009,bachelet,Desigualdad,1.01,0.0,1.01
2009,bachelet,Economía,24.35,3.37,20.98
2009,bachelet,Educación,24.35,12.78,11.57
2009,bachelet,Medio ambiente,3.22,1.94,1.28
2009,bachelet,Migración,1.01,0.0,1.01
2009,bachelet,Pensiones,4.03,0.0,4.03
2009,bachelet,Pobreza,2.81,9.03,-6.22
2009,bachelet,Salud,10.67,13.89,-3.22
2009,bachelet,Seguridad,2.61,25.94,-23.33
2009,bachelet,Trabajo/Empleo,13.28,22.66,-9.38
2009,bachelet,Vivienda,6.03,4.6,1.43
2010,pinera,Constitución,1.75,0.0,1.75
2010,pinera,Corrupción,0.8,4.45,-3.64
2010,pinera,Derechos humanos,1.34,0.95,0.39
2010,pinera,Desigualdad,1.61,0.0,1.61
2010,pinera,Economía,15.59,4.36,11.23
2010,pinera,Educación,20.97,12.77,8.2
2010,pinera,Medio ambiente,2.95,1.95,1.0
2010,pinera,Migración,0.41,0.0,0.41
2010,pinera,Pensiones,1.08,0.0,1.08
2010,pinera,Pobreza,9.13,9.26,-0.13
2010,pinera,Salud,16.53,13.78,2.75
2010,pinera,Seguridad,13.31,26.22,-12.91
2010,pinera,Trabajo/Empleo,10.35,20.49,-10.14
2010,pinera,Vivienda,4.16,5.77,-1.6
2011,pinera,Constitución,2.63,0.0,2.63
2011,pinera,Corrupción,0.74,3.52,-2.78
2011,pinera,Derechos humanos,2.44,1.38,1.07
2011,pinera,Desigualdad,1.13,0.0,1.13
2011,pinera,Economía,15.2,5.43,9.77
2011,pinera,Educación,24.59,17.12,7.47
2011,pinera,Medio ambiente,2.81,1.91,0.89
2011,pinera,Migración,0.94,0.0,0.94
2011,pinera,Pensiones,1.87,0.0,1.87
2011,pinera,Pobreza,8.25,9.54,-1.29
2011,pinera,Salud,14.26,14.14,0.12
2011,pinera,Seguridad,9.37,25.28,-15.91
2011,pinera,Trabajo/Empleo,9.95,16.97,-7.02
2011,pinera,Vivienda,5.82,4.7,1.12
2012,pinera,Constitución,1.62,0.0,1.62
2012,pinera,Corrupción,0.65,3.46,-2.8
2012,pinera,Derechos humanos,0.65,1.25,-0.6
2012,pinera,Desigualdad,1.14,0.0,1.14
2012,pinera,Economía,13.57,5.28,8.28
2012,pinera,Educación,24.68,16.2,8.48
2012,pinera,Medio ambiente,2.45,2.07,0.38
2012,pinera,Migración,1.31,0.0,1.31
2012,pinera,Pensiones,1.62,0.0,1.62
2012,pinera,Pobreza,8.82,10.34,-1.53
2012,pinera,Salud,13.08,14.52,-1.44
2012,pinera,Seguridad,14.22,23.45,-9.23
2012,pinera,Trabajo/Empleo,8.02,18.2,-10.19
2012,pinera,Vivienda,8.16,5.22,2.94
2013,pinera,Constitución,3.5,0.0,3.5
2013,pinera,Corrupción,0.55,3.55,-3.0
2013,pinera,Derechos humanos,0.93,1.39,-0.46
2013,pinera,Desigualdad,3.31,0.0,3.31
2013,pinera,Economía,12.34,4.65,7.7
2013,pinera,Educación,26.35,15.7,10.65
2013,pinera,Medio ambiente,2.21,2.37,-0.15
2013,pinera,Migración,0.93,0.0,0.93
2013,pinera,Pensiones,1.83,0.0,1.83
2013,pinera,Pobreza,9.2,8.55,0.66
2013,pinera,Salud,12.15,17.77,-5.62
2013,pinera,Seguridad,13.27,24.69,-11.42
2013,pinera,Trabajo/Empleo,8.47,17.65,-9.18
2013,pinera,Vivienda,4.97,3.71,1.26
2014,bachelet,Constitución,2.5,0.55,1.95
2014,bachelet,Corrupción,0.72,3.22,-2.5
2014,bachelet,Derechos humanos,0.58,1.3,-0.71
2014,bachelet,Desigualdad,3.08,3.96,-0.88
2014,bachelet,Economía,25.49,4.9,20.59
2014,bachelet,Educación,26.51,16.3,10.21
2014,bachelet,Medio ambiente,3.36,1.33,2.03
2014,bachelet,Migración,0.14,0.0,0.14
2014,bachelet,Pensiones,2.34,0.0,2.34
2014,bachelet,Pobreza,2.34,7.82,-5.49
2014,bachelet,Salud,11.86,16.9,-5.04
2014,bachelet,Seguridad,5.86,22.76,-16.9
2014,bachelet,Trabajo/Empleo,8.19,17.23,-9.04
2014,bachelet,Vivienda,7.03,3.73,3.3
2015,bachelet,Constitución,3.82,1.48,2.35
2015,bachelet,Corrupción,2.37,9.01,-6.64
2015,bachelet,Derechos humanos,1.46,1.26,0.2
2015,bachelet,Desigualdad,2.56,4.24,-1.68
2015,bachelet,Economía,21.0,3.97,17.02
2015,bachelet,Educación,27.57,12.88,14.68
2015,bachelet,Medio ambiente,3.46,1.3,2.16
2015,bachelet,Migración,0.36,0.0,0.36
2015,bachelet,Pensiones,3.11,0.0,3.11
2015,bachelet,Pobreza,2.75,7.67,-4.93
2015,bachelet,Salud,10.94,14.99,-4.05
2015,bachelet,Seguridad,6.21,24.22,-18.01
2015,bachelet,Trabajo/Empleo,8.39,15.74,-7.35
2015,bachelet,Vivienda,6.02,3.25,2.77
2016,bachelet,Constitución,2.55,1.15,1.4
2016,bachelet,Corrupción,4.25,10.66,-6.41
2016,bachelet,Derechos humanos,1.05,1.58,-0.52
2016,bachelet,Desigualdad,0.43,3.71,-3.28
2016,bachelet,Economía,23.36,3.56,19.8
2016,bachelet,Educación,27.39,12.07,15.31
2016,bachelet,Medio ambiente,4.25,1.32,2.93
2016,bachelet,Migración,0.63,0.0,0.63
2016,bachelet,Pensiones,2.33,0.0,2.33
2016,bachelet,Pobreza,1.7,6.87,-5.17
2016,bachelet,Salud,12.53,13.76,-1.23
2016,bachelet,Seguridad,4.88,24.09,-19.21
2016,bachelet,Trabajo/Empleo,7.85,18.4,-10.55
2016,bachelet,Vivienda,6.8,2.83,3.97
2017,bachelet,Constitución,3.77,1.24,2.53
2017,bachelet,Corrupción,1.73,8.75,-7.02
2017,bachelet,Derechos humanos,0.0,1.4,-1.4
2017,bachelet,Desigualdad,2.04,3.8,-1.76
2017,bachelet,Economía,21.39,2.27,19.12
2017,bachelet,Educación,23.59,12.06,11.53
2017,bachelet,Medio ambiente,5.49,1.48,4.01
2017,bachelet,Migración,0.94,0.0,0.94
2017,bachelet,Pensiones,2.67,4.36,-1.7
2017,bachelet,Pobreza,1.57,7.33,-5.76
2017,bachelet,Salud,10.69,13.61,-2.91
2017,bachelet,Seguridad,6.14,22.62,-16.47
2017,bachelet,Trabajo/Empleo,9.28,17.95,-8.67
2017,bachelet,Vivienda,10.69,3.13,7.56
2018,pinera,Constitución,1.66,0.95,0.71
2018,pinera,Corrupción,2.7,6.75,-4.05
2018,pinera,Derechos humanos,2.08,1.06,1.02
2018,pinera,Desigualdad,0.84,2.63,-1.79
2018,pinera,Economía,17.05,0.0,17.05
2018,pinera,Educación,19.75,11.79,7.96
2018,pinera,Medio ambiente,2.92,1.36,1.56
2018,pinera,Migración,2.5,0.0,2.5
2018,pinera,Pensiones,2.92,16.4,-13.48
2018,pinera,Pobreza,7.48,6.88,0.6
2018,pinera,Salud,11.21,12.69,-1.47
2018,pinera,Seguridad,15.37,22.23,-6.86
2018,pinera,Trabajo/Empleo,11.86,14.44,-2.58
2018,pinera,Vivienda,1.66,2.83,-1.17
2019,pinera,Constitución,2.76,1.68,1.08
2019,pinera,Corrupción,4.38,7.21,-2.83
2019,pinera,Derechos humanos,1.85,2.05,-0.2
2019,pinera,Desigualdad,0.47,4.52,-4.05
2019,pinera,Economía,14.97,0.0,14.97
2019,pinera,Educación,13.59,11.5,2.09
2019,pinera,Medio ambiente,4.15,1.48,2.66
2019,pinera,Migración,1.62,0.9,0.72
2019,pinera,Pensiones,5.53,18.62,-13.09
2019,pinera,Pobreza,6.0,5.43,0.56
2019,pinera,Salud,9.91,13.58,-3.67
2019,pinera,Seguridad,19.12,16.59,2.53
2019,pinera,Trabajo/Empleo,10.38,14.11,-3.73
2019,pinera,Vivienda,5.3,2.35,2.95
2021,pinera,Constitución,6.35,0.0,6.35
2021,pinera,Corrupción,0.63,6.65,-6.02
2021,pinera,Derechos humanos,3.59,1.87,1.72
2021,pinera,Desigualdad,1.27,3.89,-2.62
2021,pinera,Economía,10.78,0.0,10.78
2021,pinera,Educación,12.68,11.75,0.93
2021,pinera,Medio ambiente,0.63,2.72,-2.08
2021,pinera,Migración,3.17,1.91,1.26
2021,pinera,Pensiones,4.22,13.73,-9.51
2021,pinera,Pobreza,3.38,7.64,-4.25
2021,pinera,Salud,26.65,15.22,11.43
2021,pinera,Seguridad,16.7,19.68,-2.98
2021,pinera,Trabajo/Empleo,6.76,10.92,-4.15
2021,pinera,Vivienda,3.17,4.02,-0.85
2022,boric,Constitución,1.78,0.49,1.29
2022,boric,Corrupción,3.37,4.71,-1.33
2022,boric,Derechos humanos,3.57,0.85,2.72
